                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4098,                0.80838,                  1.128,                0.92203,                0.89524,                0.95419,                 0.5973,                 1.3199,                0.62585,                 1.1035,               0.008845,               0.008845,               0.008845
                     37,                 1.4144,                 0.8112,                 1.1268,                0.92425,                0.89566,                0.95478,                0.59938,                 1.3043,                0.62973,                 1.0982,               0.008812,               0.008812,               0.008812
                     38,                 1.3958,                0.80063,                 1.1224,                0.92479,                 0.9046,                0.95559,                0.59736,                 1.3106,                0.62373,                 1.1026,               0.008779,               0.008779,               0.008779
                     39,                 1.4043,                0.80183,                 1.1197,                0.93272,                0.89463,                0.95691,                0.59955,                 1.3112,                0.61784,                 1.0946,               0.008746,               0.008746,               0.008746
                     40,                 1.3916,                0.79425,                 1.1155,                0.93486,                 0.8956,                0.95743,                0.61158,                 1.2738,                0.60687,                 1.0785,               0.008713,               0.008713,               0.008713
                     41,                 1.3975,                0.79511,                 1.1178,                0.92984,                0.89829,                0.95752,                0.60776,                 1.2919,                0.60275,                 1.0907,                0.00868,                0.00868,                0.00868
                     42,                 1.3919,                0.79309,                 1.1163,                0.93064,                0.89905,                0.95846,                 0.6023,                 1.2915,                0.60861,                 1.0881,               0.008647,               0.008647,               0.008647
                     43,                 1.3876,                0.78876,                 1.1165,                0.92976,                0.90053,                0.95889,                0.61307,                 1.2667,                0.59678,                 1.0785,               0.008614,               0.008614,               0.008614
                     44,                  1.388,                0.79102,                  1.117,                0.93609,                0.89911,                0.96074,                0.61042,                 1.2788,                0.59896,                 1.0904,               0.008581,               0.008581,               0.008581
                     45,                  1.379,                 0.7806,                 1.1093,                0.92896,                0.89971,                0.95821,                0.60848,                 1.2841,                0.60798,                 1.0894,               0.008548,               0.008548,               0.008548
                     46,                 1.3855,                0.77906,                 1.1088,                 0.9287,                0.91049,                0.95954,                0.61697,                 1.2624,                0.59184,                 1.0752,               0.008515,               0.008515,               0.008515
                     47,                 1.3785,                0.78226,                 1.1112,                0.93373,                0.90997,                0.96281,                0.62098,                 1.2488,                0.58517,                 1.0742,               0.008482,               0.008482,               0.008482
                     48,                 1.3754,                0.77774,                   1.11,                0.93545,                0.91176,                0.96165,                0.62588,                 1.2304,                0.57851,                 1.0626,               0.008449,               0.008449,               0.008449
                     49,                 1.3753,                0.77652,                 1.1093,                0.93437,                0.90691,                0.96272,                 0.6241,                 1.2349,                0.58046,                 1.0669,               0.008416,               0.008416,               0.008416
                     50,                 1.3707,                0.77554,                 1.1084,                0.93265,                0.91202,                0.96321,                0.62414,                 1.2418,                 0.5784,                 1.0676,               0.008383,               0.008383,               0.008383
                     51,                 1.3669,                0.77193,                  1.105,                0.92125,                0.92506,                0.96274,                0.62636,                 1.2379,                0.57637,                 1.0644,                0.00835,                0.00835,                0.00835
                     52,                 1.3679,                0.77252,                 1.1057,                0.92627,                 0.9189,                0.96185,                0.61935,                  1.256,                0.58656,                 1.0731,               0.008317,               0.008317,               0.008317
                     53,                 1.3643,                0.76916,                 1.1031,                0.93247,                0.91468,                0.96251,                0.62387,                 1.2422,                0.57971,                 1.0675,               0.008284,               0.008284,               0.008284
                     54,                 1.3624,                0.76666,                 1.1037,                0.93119,                0.91125,                0.96284,                0.62497,                 1.2453,                0.58401,                  1.071,               0.008251,               0.008251,               0.008251
                     55,                 1.3495,                0.76005,                 1.0977,                0.93429,                0.91688,                0.96505,                0.62854,                 1.2381,                0.57618,                 1.0687,               0.008218,               0.008218,               0.008218
                     56,                 1.3609,                0.76555,                 1.1003,                0.93306,                0.90907,                0.96462,                0.62489,                 1.2502,                0.57661,                 1.0714,               0.008185,               0.008185,               0.008185
                     57,                 1.3557,                0.75728,                  1.099,                0.93396,                0.91153,                0.96493,                0.62655,                 1.2423,                0.57514,                 1.0666,               0.008152,               0.008152,               0.008152
                     58,                 1.3566,                0.76259,                 1.0971,                0.93121,                0.91279,                0.96468,                0.62335,                 1.2484,                0.57576,                 1.0673,               0.008119,               0.008119,               0.008119
                     59,                 1.3491,                0.75187,                 1.0972,                0.92789,                0.91458,                0.96385,                0.62652,                 1.2413,                0.56872,                 1.0647,               0.008086,               0.008086,               0.008086
                     60,                 1.3462,                0.75588,                 1.0975,                0.92728,                 0.9164,                0.96422,                 0.6262,                 1.2439,                0.56789,                 1.0665,               0.008053,               0.008053,               0.008053
                     61,                 1.3421,                 0.7519,                 1.0955,                0.92874,                0.91458,                0.96428,                0.62628,                  1.242,                0.56899,                 1.0652,                0.00802,                0.00802,                0.00802
                     62,                 1.3439,                0.75002,                 1.0935,                0.92894,                0.91739,                0.96598,                0.62633,                 1.2426,                 0.5674,                 1.0645,               0.007987,               0.007987,               0.007987
                     63,                 1.3444,                0.75432,                  1.093,                0.92973,                0.91483,                0.96564,                0.62856,                 1.2381,                0.56455,                 1.0621,               0.007954,               0.007954,               0.007954
                     64,                 1.3401,                0.74763,                  1.093,                0.93366,                0.91423,                0.96529,                0.62922,                 1.2343,                0.56187,                 1.0603,               0.007921,               0.007921,               0.007921
                     65,                 1.3365,                0.74591,                 1.0918,                0.93261,                0.91672,                 0.9658,                0.63073,                 1.2306,                 0.5595,                 1.0585,               0.007888,               0.007888,               0.007888
                     66,                  1.339,                0.74369,                 1.0948,                0.93394,                0.91586,                0.96566,                 0.6302,                 1.2303,                0.55817,                 1.0582,               0.007855,               0.007855,               0.007855
                     67,                 1.3423,                0.74924,                 1.0907,                0.93483,                0.91765,                0.96457,                 0.6315,                 1.2278,                0.55667,                 1.0571,               0.007822,               0.007822,               0.007822
                     68,                 1.3309,                0.74638,                 1.0879,                0.93771,                0.91509,                0.96506,                0.63244,                 1.2228,                0.55397,                 1.0549,               0.007789,               0.007789,               0.007789
                     69,                 1.3289,                0.74438,                 1.0851,                0.93642,                0.91228,                0.96456,                  0.632,                 1.2216,                0.55392,                 1.0543,               0.007756,               0.007756,               0.007756
                     70,                  1.325,                0.73922,                 1.0883,                0.93579,                0.91125,                0.96453,                0.63285,                   1.22,                0.55399,                 1.0538,               0.007723,               0.007723,               0.007723
                     71,                 1.3266,                 0.7376,                 1.0885,                0.93365,                0.91355,                0.96507,                0.63375,                  1.219,                0.55355,                 1.0537,                0.00769,                0.00769,                0.00769
                     72,                 1.3326,                0.73619,                 1.0887,                0.92633,                0.92292,                0.96548,                0.63334,                 1.2183,                0.55228,                 1.0531,               0.007657,               0.007657,               0.007657
                     73,                 1.3299,                0.73616,                 1.0859,                0.93032,                0.91859,                0.96521,                0.63271,                 1.2189,                0.55187,                 1.0532,               0.007624,               0.007624,               0.007624
                     74,                 1.3248,                0.73606,                 1.0879,                0.93405,                0.91458,                 0.9651,                0.63433,                  1.213,                0.55035,                 1.0511,               0.007591,               0.007591,               0.007591
                     75,                 1.3253,                0.73534,                 1.0865,                0.93411,                0.91202,                0.96518,                0.63475,                  1.212,                0.54957,                 1.0504,               0.007558,               0.007558,               0.007558
                     76,                 1.3219,                0.73295,                 1.0857,                0.93738,                0.91253,                 0.9666,                0.63642,                 1.2097,                0.54873,                 1.0488,               0.007525,               0.007525,               0.007525
                     77,                 1.3218,                0.72822,                 1.0832,                0.93854,                0.91253,                0.96665,                0.63732,                 1.2085,                0.54842,                 1.0479,               0.007492,               0.007492,               0.007492
                     78,                 1.3167,                0.72879,                 1.0833,                0.93834,                0.91483,                0.96741,                0.63855,                 1.2065,                0.54666,                 1.0473,               0.007459,               0.007459,               0.007459
                     79,                 1.3181,                0.72838,                 1.0828,                0.93959,                0.91509,                0.96796,                0.63894,                  1.205,                0.54595,                 1.0465,               0.007426,               0.007426,               0.007426
                     80,                  1.317,                0.72876,                  1.083,                0.93869,                0.91611,                0.96735,                0.63899,                 1.2049,                0.54501,                 1.0464,               0.007393,               0.007393,               0.007393
                     81,                 1.3152,                 0.7265,                 1.0834,                0.93571,                0.91432,                0.96756,                0.64013,                 1.2036,                0.54387,                 1.0459,                0.00736,                0.00736,                0.00736
                     82,                 1.3053,                0.72216,                 1.0789,                0.93479,                0.92017,                 0.9677,                0.64142,                 1.2015,                 0.5426,                 1.0447,               0.007327,               0.007327,               0.007327
                     83,                 1.3117,                0.72004,                   1.08,                0.93375,                0.92251,                0.96751,                 0.6411,                    1.2,                 0.5423,                 1.0439,               0.007294,               0.007294,               0.007294
                     84,                 1.3074,                0.72121,                 1.0764,                0.93457,                0.92053,                0.96744,                0.64138,                 1.1992,                0.54182,                 1.0438,               0.007261,               0.007261,               0.007261
                     85,                 1.3109,                0.72064,                 1.0753,                0.93116,                0.92363,                0.96796,                0.64205,                 1.1985,                0.54099,                 1.0435,               0.007228,               0.007228,               0.007228
                     86,                 1.2989,                0.71747,                 1.0753,                0.93171,                0.92583,                0.96843,                0.64225,                 1.1974,                0.53989,                 1.0429,               0.007195,               0.007195,               0.007195
                     87,                 1.3054,                0.71845,                  1.076,                0.92889,                0.92876,                0.96858,                0.64281,                 1.1974,                0.53963,                 1.0428,               0.007162,               0.007162,               0.007162
                     88,                 1.3072,                0.71773,                 1.0764,                0.93094,                0.92813,                0.96873,                0.64214,                 1.1978,                0.53906,                 1.0429,               0.007129,               0.007129,               0.007129
