threshold,count_mae,count_rmse,count_bias,empty_false_positive_rate
0.3,0.40773809523809523,1.013304354222222,-0.2961309523809524,0.047619047619047616
0.4,0.4166666666666667,1.0177004891982149,-0.31101190476190477,0.047619047619047616
0.45,0.41517857142857145,1.0228054323188513,-0.3273809523809524,0.023809523809523808
0.5,0.42485119047619047,1.0325794100674477,-0.3400297619047619,0.023809523809523808
0.55,0.4322916666666667,1.0397601600735578,-0.35342261904761907,0.023809523809523808
0.6,0.44419642857142855,1.0497306910867776,-0.3697916666666667,0.023809523809523808
0.65,0.4583333333333333,1.0564428184106458,-0.3869047619047619,0.023809523809523808
0.7,0.47098214285714285,1.067303567295596,-0.4069940476190476,0.023809523809523808
0.75,0.47842261904761907,1.0777097630314636,-0.42336309523809523,0.023809523809523808
0.8,0.49330357142857145,1.090748432433961,-0.44568452380952384,0.023809523809523808
