epoch,acc,learning_rate,loss,prec,rec,val_acc,val_loss,val_prec,val_rec
0,0.9618495106697083,0.0010000000474974513,0.09724950790405273,0.7395595908164978,0.5512407422065735,0.9555431604385376,0.365042507648468,0.7867411971092224,0.3433251976966858
1,0.9629629254341125,0.0010000000474974513,0.10405018925666809,0.5,0.5,0.9549022912979126,0.36673596501350403,0.7864887118339539,0.3286859393119812
2,0.9778884649276733,0.0010000000474974513,0.05764513835310936,0.8393008708953857,0.7758132815361023,0.9560185670852661,0.21715208888053894,0.7546391487121582,0.3827117383480072
3,0.9583333134651184,0.0010000000474974513,0.06377765536308289,0.800000011920929,0.5333333611488342,0.9549850225448608,0.21837131679058075,0.7623386383056641,0.3499477207660675
4,0.9813137054443359,0.0010000000474974513,0.04759565740823746,0.8613815903663635,0.8164917826652527,0.9635829925537109,0.1715061366558075,0.7098976373672485,0.6524921655654907
5,0.9629629254341125,0.0010000000474974513,0.1009911522269249,0.5555555820465088,0.5555555820465088,0.9640787839889526,0.17824915051460266,0.736116886138916,0.6144998073577881
6,0.9831455945968628,0.0010000000474974513,0.04346969723701477,0.870940089225769,0.8405311107635498,0.9687293767929077,0.17790351808071136,0.823782205581665,0.6012548208236694
7,0.976851761341095,0.0010000000474974513,0.03794156014919281,0.7142857313156128,0.625,0.9689566493034363,0.1713014543056488,0.8145421147346497,0.6169397234916687
8,0.985315203666687,0.0010000000474974513,0.038011688739061356,0.8886939287185669,0.8602098822593689,0.9620741605758667,0.2193184792995453,0.8428381681442261,0.44301149249076843
9,0.9814814925193787,0.0010000000474974513,0.03778085485100746,0.9230769276618958,0.800000011920929,0.9626736640930176,0.21021617949008942,0.8349086046218872,0.4618333876132965
10,0.986552357673645,0.0010000000474974513,0.03460908681154251,0.8955622911453247,0.8753973841667175,0.9723049998283386,0.15466830134391785,0.8274089694023132,0.6734053492546082
11,0.9953703880310059,0.0010000000474974513,0.023359501734375954,1.0,0.9411764740943909,0.9720774292945862,0.15402734279632568,0.8154613375663757,0.6838619709014893
12,0.987382173538208,0.0010000000474974513,0.033125270158052444,0.9033452272415161,0.8817152976989746,0.9662905931472778,0.1683797836303711,0.7049669027328491,0.7420704364776611
13,0.9861111640930176,0.0010000000474974513,0.026026850566267967,0.8571428656578064,0.75,0.9665797352790833,0.16833056509494781,0.7048429250717163,0.7507842183113098
14,0.9887074828147888,0.0010000000474974513,0.03019139915704727,0.9138851761817932,0.893953263759613,0.9698248505592346,0.17623527348041534,0.8305959701538086,0.6169397234916687
15,0.9814814925193787,0.0005000000237487257,0.046440016478300095,0.6666666865348816,0.8571428656578064,0.9699282050132751,0.1764034777879715,0.8319248557090759,0.6176367998123169
16,0.9922549724578857,0.0005000000237487257,0.020459186285734177,0.939088761806488,0.9297657608985901,0.9767071604728699,0.1155872568488121,0.8483999967575073,0.739281952381134
17,0.9907407760620117,0.0005000000237487257,0.02632051892578602,0.9166666865348816,0.9166666865348816,0.9764590263366699,0.11587308347225189,0.8457234501838684,0.7375392317771912
18,0.9937998652458191,0.0005000000237487257,0.01648745872080326,0.9502211213111877,0.9450080394744873,0.9784846305847168,0.10293833166360855,0.8491214513778687,0.7748344540596008
19,1.0,0.0005000000237487257,0.001989448443055153,1.0,1.0,0.9784018993377686,0.10299786180257797,0.8478260636329651,0.7748344540596008
20,0.9946391582489014,0.0005000000237487257,0.014668758027255535,0.9568773508071899,0.9525862336158752,0.9807581305503845,0.07920677214860916,0.8336777091026306,0.8438480496406555
21,1.0,0.0005000000237487257,0.0036177996080368757,1.0,1.0,0.9806341528892517,0.0793813094496727,0.8324156999588013,0.8431509137153625
22,0.9949697852134705,0.0005000000237487257,0.013383878394961357,0.9593005180358887,0.9557491540908813,0.9771618843078613,0.08511665463447571,0.7836012840270996,0.8494248986244202
23,0.9953703880310059,0.0005000000237487257,0.010459457524120808,1.0,0.9444444179534912,0.9770998358726501,0.08538704365491867,0.7837576270103455,0.8476821184158325
24,0.9966595768928528,0.0002500000118743628,0.009064851328730583,0.972902238368988,0.9707419276237488,0.9825356602668762,0.07770392298698425,0.8528591394424438,0.852561891078949
25,0.9953703880310059,0.0002500000118743628,0.007283996790647507,1.0,0.8999999761581421,0.9825354218482971,0.07772719115018845,0.8535988926887512,0.8515161871910095
26,0.9975841045379639,0.0002500000118743628,0.00672535877674818,0.9801238179206848,0.9791421890258789,0.982742428779602,0.08168385177850723,0.8655643463134766,0.8393168449401855
27,1.0,0.0002500000118743628,0.005626738537102938,1.0,1.0,0.9828664660453796,0.0821506530046463,0.8677000999450684,0.8389682769775391
28,0.998310387134552,0.0001250000059371814,0.004564356058835983,0.9863103032112122,0.9851935505867004,0.9840443134307861,0.0808207169175148,0.8805807828903198,0.8455907702445984
29,1.0,0.0001250000059371814,0.0013753841631114483,1.0,1.0,0.9840649962425232,0.08080963045358658,0.8806241154670715,0.8459393382072449
