epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
1,0.0,138,3264,0,metrics/F1,0.0,True,0.0003,1.1351,0.0,1,0.0,0.0,0.25,1.047
2,0.6553,61,20,77,metrics/F1,0.6553,True,0.0003,0.6605,0.675,1,0.7938,0.558,0.8,0.6753
3,0.7191,42,33,96,metrics/F1,0.7191,True,0.000299,0.4587,0.571,1,0.7442,0.6957,0.9,0.5056
4,0.7321,41,30,97,metrics/F1,0.7321,True,0.000299,0.3577,0.581,1,0.7638,0.7029,0.9,0.3978
5,0.7452,40,27,98,metrics/F1,0.7452,True,0.000298,0.296,0.516,1,0.784,0.7101,0.9,0.3169
6,0.7416,39,30,99,,,,0.000297,0.2429,0.48,1,0.7674,0.7174,0.9,0.256
7,0.7605,38,25,100,metrics/F1,0.7605,True,0.000297,0.2037,0.471,1,0.8,0.7246,0.9,0.209
8,0.7692,38,22,100,metrics/F1,0.7692,True,0.000296,0.1798,0.429,1,0.8197,0.7246,0.9,0.1748
9,0.7945,22,38,116,metrics/F1,0.7945,True,0.000294,0.1656,0.446,1,0.7532,0.8406,0.8,0.1468
10,0.8244,23,26,115,metrics/F1,0.8244,True,0.000293,0.1516,0.429,1,0.8156,0.8333,0.8,0.1255
11,0.8129,25,27,113,,,,0.000292,0.142,0.408,1,0.8071,0.8188,0.8,0.109
12,0.8074,29,23,109,,,,0.00029,0.1385,0.39,1,0.8258,0.7899,0.8,0.0953
13,0.8125,21,33,117,,,,0.000288,0.1412,0.402,1,0.78,0.8478,0.65,0.0832
14,0.8015,33,19,105,,,,0.000286,0.1425,0.321,1,0.8468,0.7609,0.8,0.0751
15,0.803,32,20,106,,,,0.000284,0.144,0.346,1,0.8413,0.7681,0.8,0.0672
16,0.8168,31,17,107,,,,0.000282,0.1509,0.324,1,0.8629,0.7754,0.8,0.0614
17,0.8185,23,28,115,,,,0.00028,0.1453,0.319,1,0.8042,0.8333,0.65,0.0559
18,0.8231,24,25,114,,,,0.000278,0.157,0.29,1,0.8201,0.8261,0.65,0.0519
19,0.8192,27,22,111,,,,0.000275,0.1724,0.29,1,0.8346,0.8043,0.65,0.0454
20,0.8271,28,18,110,metrics/F1,0.8271,True,0.000273,0.1804,0.302,1,0.8594,0.7971,0.65,0.0417
21,0.8315,27,18,111,metrics/F1,0.8315,True,0.00027,0.1929,0.272,1,0.8605,0.8043,0.65,0.0378
22,0.839,26,17,112,metrics/F1,0.839,True,0.000267,0.2037,0.248,1,0.8682,0.8116,0.65,0.0366
23,0.8244,23,26,115,,,,0.000264,0.2161,0.28,1,0.8156,0.8333,0.5,0.0326
24,0.8258,29,17,109,,,,0.000261,0.2172,0.274,1,0.8651,0.7899,0.65,0.0308
25,0.8171,33,14,105,,,,0.000258,0.2534,0.261,1,0.8824,0.7609,0.65,0.028
26,0.8352,29,14,109,,,,0.000255,0.255,0.261,1,0.8862,0.7899,0.65,0.026
27,0.837,25,19,113,,,,0.000252,0.2559,0.264,1,0.8561,0.8188,0.5,0.0245
28,0.834,30,13,108,,,,0.000248,0.2756,0.263,1,0.8926,0.7826,0.65,0.0228
29,0.8372,30,12,108,,,,0.000245,0.299,0.245,1,0.9,0.7826,0.65,0.0216
30,0.8372,30,12,108,,,,0.000241,0.2965,0.235,1,0.9,0.7826,0.65,0.0202
31,0.8372,30,12,108,,,,0.000238,0.2983,0.254,1,0.9,0.7826,0.65,0.0197
32,0.8377,27,16,111,,,,0.000234,0.3163,0.265,1,0.874,0.8043,0.5,0.0181
33,0.8482,29,10,109,metrics/F1,0.8482,True,0.00023,0.3215,0.252,1,0.916,0.7899,0.65,0.017
34,0.8473,27,13,111,,,,0.000226,0.349,0.256,1,0.8952,0.8043,0.5,0.0159
35,0.8462,28,12,110,,,,0.000222,0.3586,0.249,1,0.9016,0.7971,0.5,0.0157
36,0.8429,28,13,110,,,,0.000218,0.3674,0.258,1,0.8943,0.7971,0.5,0.0148
37,0.8397,28,14,110,,,,0.000214,0.3942,0.249,1,0.8871,0.7971,0.5,0.0131
38,0.8464,25,16,113,,,,0.00021,0.3922,0.278,1,0.876,0.8188,0.35,0.0133
39,0.8429,28,13,110,,,,0.000206,0.392,0.249,1,0.8943,0.7971,0.5,0.0124
40,0.8327,31,12,107,,,,0.000202,0.4118,0.247,1,0.8992,0.7754,0.5,0.0119
41,0.8385,29,13,109,,,,0.000197,0.4192,0.252,1,0.8934,0.7899,0.5,0.0118
42,0.8372,30,12,108,,,,0.000193,0.424,0.245,1,0.9,0.7826,0.5,0.011
43,0.8314,32,11,106,,,,0.000189,0.446,0.24,1,0.906,0.7681,0.5,0.0103
