epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
44,0.8314,32,11,106,,,,0.000184,0.4539,0.221,1,0.906,0.7681,0.5,0.01
45,0.834,30,13,108,,,,0.00018,0.4333,0.226,1,0.8926,0.7826,0.5,0.0099
46,0.8346,32,10,106,,,,0.000175,0.4808,0.249,1,0.9138,0.7681,0.5,0.0101
47,0.8295,31,13,107,,,,0.000171,0.4753,0.266,1,0.8917,0.7754,0.5,0.0094
48,0.8308,30,14,108,,,,0.000166,0.4599,0.235,1,0.8852,0.7826,0.5,0.0092
49,0.8244,30,16,108,,,,0.000162,0.4781,0.245,1,0.871,0.7826,0.35,0.0084
50,0.8244,30,16,108,,,,0.000157,0.4932,0.235,1,0.871,0.7826,0.35,0.0079
51,0.8429,28,13,110,,,,0.000153,0.5038,0.24,1,0.8943,0.7971,0.35,0.0076
52,0.8289,29,16,109,,,,0.000149,0.495,0.242,1,0.872,0.7899,0.35,0.0078
53,0.8289,29,16,109,,,,0.000144,0.5079,0.252,1,0.872,0.7899,0.35,0.007
