epoch,F1,FN,FP,TP,best_metric_name,best_metric_value,is_best,learning_rate,loss,mean_dist,nms_radius,precision,recall,threshold,train_loss
58,0.7988,370,570,1866,,,,0.000122,0.9272,0.487,1,0.766,0.8345,0.9,0.0618
59,0.8031,376,536,1860,metrics/F1,0.8031,True,0.000118,1.018,0.486,1,0.7763,0.8318,0.9,0.0619
60,0.7968,356,603,1880,,,,0.000113,0.9515,0.485,1,0.7571,0.8408,0.9,0.0601
61,0.7963,325,653,1911,,,,0.000109,0.8942,0.49,1,0.7453,0.8547,0.9,0.061
62,0.803,371,544,1865,,,,0.000105,1.022,0.481,1,0.7742,0.8341,0.9,0.0603
63,0.7973,371,577,1865,,,,0.000101,0.9829,0.475,1,0.7637,0.8341,0.9,0.0592
64,0.7966,387,557,1849,,,,9.7e-05,1.0249,0.476,1,0.7685,0.8269,0.9,0.0584
65,0.7955,379,576,1857,,,,9.3e-05,0.9838,0.477,1,0.7633,0.8305,0.9,0.0582
66,0.795,371,591,1865,,,,8.9e-05,0.9349,0.485,1,0.7594,0.8341,0.9,0.059
67,0.7956,401,542,1835,,,,8.5e-05,1.044,0.473,1,0.772,0.8207,0.9,0.0571
68,0.7972,406,525,1830,,,,8.1e-05,1.0929,0.478,1,0.7771,0.8184,0.9,0.0568
69,0.796,377,576,1859,,,,7.7e-05,1.0551,0.478,1,0.7634,0.8314,0.9,0.0562
70,0.7981,398,532,1838,,,,7.4e-05,1.0725,0.482,1,0.7755,0.822,0.9,0.0551
71,0.7919,394,574,1842,,,,7e-05,1.0593,0.473,1,0.7624,0.8238,0.9,0.0559
72,0.7914,387,588,1849,,,,6.7e-05,1.0317,0.466,1,0.7587,0.8269,0.9,0.0561
73,0.799,406,515,1830,,,,6.3e-05,1.1268,0.48,1,0.7804,0.8184,0.9,0.0544
74,0.7945,365,603,1871,,,,6e-05,1.044,0.485,1,0.7563,0.8368,0.9,0.0547
75,0.7963,385,562,1851,,,,5.7e-05,1.096,0.474,1,0.7671,0.8278,0.9,0.0546
76,0.7983,404,522,1832,,,,5.4e-05,1.1146,0.476,1,0.7782,0.8193,0.9,0.0542
77,0.7945,415,527,1821,,,,5.1e-05,1.1454,0.471,1,0.7756,0.8144,0.9,0.0535
78,0.7941,344,637,1892,,,,4.8e-05,1.1493,0.483,1,0.7481,0.8462,0.8,0.0538
79,0.7986,396,532,1840,,,,4.5e-05,1.1244,0.473,1,0.7757,0.8229,0.9,0.0521
